college,course,code,fees,location,cao_score,interest,job_domain,personality
Technological University Dublin,TU059 Computer Science  (Data Science),TU059,7000,Dublin,304,Applications Developer,IT,serious
University College Dublin,DN150 Biomedical Engineering,DN150,7574,Dublin,551,Business Analyst,Non_IT,extraverted
University College Dublin,NQS2 Chemical & Bioprocess Engineering,NQS2,7574,Dublin,224,Banker,Non_IT,responsible
University College Dublin,NVS1 Civil Engineering,NVS1,7574,Dublin,313,Human Resources,Non_IT,dependable
University College Dublin,DN201 Computer Science,DN201,7574,Dublin,497,Pilot,IT,lively
University College Dublin,NES1 Electronic Engineering or Electrical Engineering,NES1,7574,Dublin,291,Pilot,Non_IT,serious
University College Dublin,NMS1 Mechanical Engineering,NMS1,7574,Dublin,244,Business Analyst,Non_IT,extraverted
University College Dublin,NAS1 Structural Engineering with Architecture,NAS1,7574,Dublin,335,Banker,Non_IT,responsible
Trinity College Dublin,TR060 Biological and Biomedical Sciences,TR060,7332,Dublin,406,Human Resources,Non_IT,dependable
Trinity College Dublin,TR064 Environmental Science and Engineering,TR064,7332,Dublin,430,Pilot,Non_IT,lively
Trinity College Dublin,"TR032 Civil, Structural, and Environmental Engineering",TR032,7332,Dublin,503,Business Analyst,Non_IT,serious
Trinity College Dublin,TR032 Computer engineering,TR032,7332,Dublin,410,Banker,IT,extraverted
Trinity College Dublin,TR032 Electronic Engineering,TR032,7332,Dublin,407,Human Resources,Non_IT,responsible
Trinity College Dublin,TR032 Mechanical and Manufacturing Engineering,TR032,7332,Dublin,288,Pilot,Non_IT,dependable
Trinity College Dublin,"TR081 Business, Economics and Social Studies",TR081,7332,Dublin,343,Accountant,Management,lively
Trinity College Dublin,TR803 Dental Technology,TR803,7332,Dublin,325,Banker,Non_IT,serious
National College of Ireland,NC003 Computing,NC003,3080,Dublin,583,Human Resources,IT,extraverted
National College of Ireland,NC009 Business,NC009,3080,Dublin,513,Business Analyst,Management,responsible
National College of Ireland,NC020 Marketing Practice,NC020,3080,Dublin,422,Human Resources,Management,dependable
National College of Ireland,NC022 Accounting and Finance,NC022,3080,Dublin,234,Accountant,Management,lively
National College of Ireland,NC010 Psychology,NC010,3080,Dublin,542,Business Analyst,Non_IT,serious
National College of Ireland,NC025 Data Science,NC025,3080,Dublin,312,Network Security Engineer,IT,extraverted
National College of Ireland,NC030 Early Childhood Education and Care,NC030,3080,Dublin,322,Technical Support,Support,responsible
Technological University Dublin,TU828 Automation / Biomedical Design / Mechanical Engineering / Sustainable Energy Engineering,TU828,14500,Dublin,352,Banker,Non_IT,dependable
Dublin City University,DC194 Mechanical and Sustainability Engineering,DC194,6679,Dublin,343,Teacher,Non_IT,lively
Dublin City University,DC193 Mechatronic Engineering,DC193,6679,Dublin,439,Banker,Non_IT,serious
Dublin City University,DC190 Electronic and Computer Engineering,DC190,6679,Dublin,279,Business Analyst,Non_IT,extraverted
Dublin City University,DC123 Data Science,DC123,6679,Dublin,251,Software Developer,IT,responsible
Dublin City University,DC120 Computing for Business,DC120,6679,Dublin,393,Software Engineer,IT,dependable
Dublin City University,DC195 Mechanical and Manufacturing Engineering,DC195,6679,Dublin,368,Human Resources,Non_IT,lively
Dublin City University,DC121 Computer Science,DC121,6679,Dublin,286,Software Quality Assurance (QA) / Testing,IT,serious
Dublin City University,DC197 Biomedical Engineering,DC197,6679,Dublin,425,Pilot,Non_IT,extraverted
Dublin City University,DC200 Common Entry into Engineering,DC200,6679,Dublin,561,Banker,Support,responsible
Technological University Dublin,TU910 Accounting,TU910,13500,Dublin,447,Business Analyst,Management,dependable
Technological University Dublin,TU851 Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,13500,Dublin,494,Banker,Non_IT,lively
Technological University Dublin,TU866 Biomedical & Molecular Diagnostics,TU866,14500,Dublin,469,Business Analyst,Non_IT,serious
Technological University Dublin,TU877 Physics Technology,TU877,14500,Dublin,558,Teacher,Support,extraverted
Technological University Dublin,TU867 Medical Science,TU867,13500,Dublin,419,Technical Support,Support,responsible
Technological University Dublin,TU952 International Hospitality Management,TU952,13500,Dublin,592,Banker,Support,dependable
Technological University Dublin,TU984 Game Design,TU984,13500,Dublin,535,Systems Security Administrator,IT,lively
Technological University Dublin,TU820 Electrical Services & Energy Management,TU820,14500,Dublin,483,Human Resources,Non_IT,serious
Technological University Dublin,TU821 Electrical & Electronic / Computer & Communications Engineering,TU821,14500,Dublin,272,Pilot,Non_IT,extraverted
Technological University Dublin,TU856 Computer Science,TU856,13500,Dublin,256,Technical Support,IT,responsible
Technological University Dublin,TU852 Chemical Sciences with Medicinal Chemistry,TU852,14500,Dublin,583,Banker,Non_IT,dependable
Technological University Dublin,TU919 Advertising and Marketing Communications,TU919,13500,Dublin,539,Human Resources,Management,lively
Technological University Dublin,TU933 Accounting & Finance,TU933,13500,Dublin,511,Accountant,Management,serious
Technological University Dublin,TU786 International Business,TU786,13500,Dublin,302,Teacher,Support,extraverted
Technological University Dublin,TU803 Electronic Engineering,TU803,14500,Dublin,432,Business Analyst,Non_IT,responsible
Technological University Dublin,TU921 Digital Marketing Technologies,TU921,13500,Dublin,424,Human Resources,Non_IT,dependable
Technological University Dublin,TU864 DNA and Forensic Science,TU864,14500,Dublin,263,Pilot,Non_IT,lively
Technological University Dublin,TU922 Marketing,TU922,13500,Dublin,399,Business Analyst,Management,serious
Technological University Dublin,TU670 Business,TU670,13500,Dublin,472,Human Resources,Management,extraverted
Technological University Dublin,TU876 Pharmaceutical Science,TU876,13500,Dublin,370,Banker,Non_IT,responsible
Technological University Dublin,TU722 Process Instrumentation & Automation,TU722,14500,Dublin,286,Business Analyst,Non_IT,dependable
Technological University Dublin,TU810 Mechatronic Engineering,TU810,14500,Dublin,258,Human Resources,Non_IT,lively
Technological University Dublin,"TU812 Design, Technology & Innovation",TU812,14500,Dublin,215,Pilot,Non_IT,serious
Technological University Dublin,TU716 Networking Technologies,TU716,14500,Dublin,522,UX Designer,IT,extraverted
Technological University Dublin,TU863 Computing in Digital Forensics and Cyber Security,TU863,13500,Dublin,365,Web Developer,IT,responsible
Technological University Dublin,TU807 Computer Engineering in Mobile Systems,TU807,14500,Dublin,389,Applications Developer,IT,dependable
Technological University Dublin,TU860 Computing - Information Technology,TU860,13500,Dublin,205,CRM Technical Developer,IT,lively
Griffith College,Certificate in Animation,GA1111,8950,Dublin,581,Banker,Non_IT,serious
Griffith College,Audio and Music Technology,GA1112,8950,Dublin,391,Database Developer,IT,extraverted
Griffith College,GC430 Computing Science,GC430,5600,Dublin,325,Mobile Applications Developer,IT,responsible
Griffith College,Essential Counselling Skills,GA1113,800,Dublin,357,Technical Support,Support,dependable
Griffith College,GC480 Graphic Communication Design,GC480,6450,Dublin,429,Business Analyst,Non_IT,lively
Griffith College,Intelligent Technologies in Procurement and Supply Chain 4.0,GA1114,950,Dublin,502,Banker,Support,serious
Griffith College,Industrial Manufacturing and Maintenance Skills,GA1115,3900,Dublin,564,Teacher,Support,extraverted
Griffith College,Industrial and Systems Engineering,GA1116,3900,Dublin,568,Human Resources,Non_IT,responsible
Griffith College,Pharmaceutical Business Operations,GA1117,4950,Dublin,210,Pilot,Non_IT,dependable
Griffith College,Music Production,GA1118,8950,Dublin,568,Banker,Non_IT,lively
Griffith College,Procurement and Supply Chain Management,GA1119,5950,Dublin,530,Technical Support,Support,serious
Dublin Business School,BSc (Hons) Computing - Full-time,"DB500, DB501, DB502",6300,Dublin,299,Network Security Engineer,IT,extraverted
Dublin Business School,BSc (Hons) Computing - Full-time,"DB500, DB501, DB503",6300,Dublin,504,Software Developer,IT,responsible
Dublin Business School,BA (Hons) Business acaca Full-time,"DB512, DB514, DB569, DB515, DB520",5995,Dublin,281,Human Resources,Management,dependable
Dublin Business School,DB521 Accounting & Financ eacaca  Full-time,DB521,5995,Dublin,421,Business Analyst,Management,lively
Dublin Business School,BA (Hons) Marketing acaca Full-time,"DB517, DB518, DB525, DB531",5895,Dublin,349,Banker,Support,serious
Dublin Business School,Digital Media and Cloud Computing,"DB517, DB518, DB525, DB531",5895,Dublin,295,Software Engineer,IT,extraverted
Dublin Business School,DB567 Film & Creative Media,DB567,5995,Dublin,381,Teacher,Support,responsible
University of Limerick,LM099 Architecture,LM099,10446,Limerick,494,Accountant,Management,dependable
University of Limerick,LM115 Chemical & Biochemical Engineering,LM115,10446,Limerick,573,Business Analyst,Non_IT,lively
University of Limerick,LM118 Electronic and Computer Engineering,LM118,10446,Limerick,481,Human Resources,Non_IT,serious
University of Limerick,LM121 Computer Science Common Entry,LM121,10446,Limerick,251,Software Quality Assurance (QA) / Testing,IT,extraverted
University of Limerick,LM082 Construction Management and Engineering,LM082,10446,Limerick,404,Business Analyst,Management,responsible
University of Limerick,LM066 Environmental Science,LM066,10446,Limerick,301,Pilot,Non_IT,dependable
University of Limerick,LM093 Equine Science,LM093,11895,Limerick,331,Technical Support,Support,lively
University of Limerick,LM058 Financial Mathematics,LM058,10446,Limerick,220,Human Resources,Management,serious
University of Limerick,LM068 Food Science and Health,LM068,10446,Limerick,386,Banker,Non_IT,extraverted
University of Limerick,LM173 Immersive Software Engineering,LM173,8000,Limerick,568,Systems Security Administrator,IT,responsible
University of Limerick,LM116 Engineering (Common Entry),LM116,10446,Limerick,383,Business Analyst,Non_IT,dependable
University of Limerick,LM124 Mathematics (Common Entry),LM124,10446,Limerick,470,Human Resources,Non_IT,lively
University of Limerick,LM076 Product Design and Technology,LM076,10446,Limerick,302,Pilot,Non_IT,serious
University of Limerick,LM077 Aeronautical Engineering,LM077,10446,Limerick,223,Banker,Non_IT,extraverted
University of Limerick,LM174 Artificial Intelligence and Machine Learning,LM174,10000,Limerick,346,Technical Support,IT,responsible
University of Limerick,LM180 Equine Science,LM180,12200,Limerick,233,Business Analyst,Non_IT,dependable
University of Limerick,LM122 Creative Media and Interaction Design Common Entry,LM122,10446,Limerick,287,Banker,Support,lively
University of Limerick,LM096 concurrent Teacher Education (Physical Sciences with Chemistry AND Physics),LM096,10446,Limerick,306,Pilot,Non_IT,serious
University of Limerick,LM092 concurrent Teacher Education (Science Education with Physics OR Chemistry OR Agricultural Science),LM092,10446,Limerick,427,Human Resources,Non_IT,extraverted
University of Limerick,LM123 Biological and Chemical Sciences (Common Entry),LM123,10446,Limerick,227,Banker,Non_IT,responsible
University of Limerick,LM125 Physics (Common Entry),LM125,10446,Limerick,500,Banker,Non_IT,dependable
Munster Technological University,Agriculture - Clonakilty / Cork Campus,MT750,7348,Cork,496,Teacher,Support,lively
Munster Technological University,Analytical & Pharmaceutical Chemistry - Cork Campus,MT774,7348,Cork,249,Business Analyst,Non_IT,serious
Munster Technological University,Analytical Chemistry with Quality Assurance - Cork Campus,MT874,7348,Cork,318,Technical Support,Support,extraverted
Munster Technological University,Information Technology - Cork Campus,MT705,7348,Cork,462,UX Designer,IT,responsible
Munster Technological University,Automotive Technology & Management - Cork Campus,MT747,7348,Cork,579,Accountant,Management,dependable
Munster Technological University,Nautical Science - NMCI Ringaskiddy,MT766,7348,Cork,398,Pilot,Non_IT,lively
Munster Technological University,Science - Physical Sciences - Common Entry - Cork Campus,MT770,7348,Cork,556,Human Resources,Non_IT,serious
Munster Technological University,International Business with Language - Cork Campus,MT945,7348,Cork,325,Banker,Support,extraverted
Munster Technological University,Marine Electrotechnology - NMCI Ringaskiddy,MT765,7348,Cork,282,Banker,Non_IT,responsible
Munster Technological University,Engineering - Biomedical Engineering - Cork Campus,MT739,7348,Cork,257,Business Analyst,Non_IT,dependable
Munster Technological University,Accounting - Cork Campus,MT942,7348,Cork,492,Business Analyst,Management,lively
Munster Technological University,Agri-Biosciences - Cork Campus,MT879,7348,Cork,247,Teacher,Support,serious
Munster Technological University,Interior Architecture - Cork Campus,MT760,7348,Cork,211,Accountant,Management,extraverted
University College Cork,CK202 Accounting (BSc (Hons)),CK202,3138,Cork,580,Business Analyst,Management,responsible
University College Cork,Anthropology (BA (Hons)) (CK123),CK123,3138,Cork,242,Technical Support,Support,dependable
University College Cork,Arts (BA (Hons)) CK101,CK101,3138,Cork,464,Banker,Support,lively
University College Cork,Biochemistry (BSc (Hons)) (CK402),CK402,3138,Cork,507,Pilot,Non_IT,serious
University College Cork,Biological & Chemical Sciences (BSc (Hons)) (CK402),CK403,3138,Cork,564,Human Resources,Non_IT,extraverted
University College Cork,Business Information Systems (BSc (Hons)) (CK203),CK203,3138,Cork,467,Human Resources,Management,responsible
University College Cork,Chemical Physics (BSc (Hons)) (CK406),CK406,3138,Cork,318,Banker,Non_IT,dependable
University College Cork,Commerce (BComm (Hons)) (CK201),CK201,3138,Cork,558,Business Analyst,Non_IT,lively
University College Cork,Computer Science (BSc (Hons)) (CK401),CK401,3138,Cork,385,Applications Developer,IT,serious
University College Cork,Data Science & Analytics (BSc (Hons)) (CK 411),CK 411,3138,Cork,394,CRM Technical Developer,IT,extraverted
Technological University of the Shannon,International Business Bachelor of Business (Honours)(US853),US853,7000,Athlone,598,Accountant,Management,responsible
Technological University of the Shannon,Business Bachelor of Business(US720),US720,5000,Atholne,220,Business Analyst,Management,dependable
Technological University of the Shannon,Business Bachelor of Business (Honours)(US840),US840,9000,Atholne,203,Human Resources,Management,lively
Technological University of the Shannon,Business and Law Bachelor of Business (Honours)(US848),US848,6700,Atholne,256,Accountant,Management,serious
Technological University of the Shannon,Digital Marketing Bachelor of Business (Honours)(US844),US844,7800,Atholne,293,Pilot,Non_IT,extraverted
Technological University of the Shannon,Digital Marketing Bachelor of Business(US724),US724,5000,Atholne,302,Human Resources,Non_IT,responsible
Technological University of the Shannon,Civil Engineering Bachelor of Engineering (Honours)(AL811),AL811,4500,Atholne,438,Banker,Non_IT,dependable
Technological University of the Shannon,Business Higher Certificate in Business(US611),US611,5000,Atholne,490,Business Analyst,Management,lively
Technological University of the Shannon,Business Higher Diploma,BH711,5000,Atholne,481,Human Resources,Management,serious
Technological University of the Shannon,Early Years Care and Education Bachelor of Arts (Honours)(AL864),AL864,9000,Atholne,595,Teacher,Support,extraverted
Technological University of the Shannon,Applied Psychology Bachelor of Science (Honours)(AL870),AL870,7500,Atholne,326,Business Analyst,Non_IT,responsible
Technological University of the Shannon,BA (Hons) in Accounting with Finance Bachelor of Arts (Honours)(US846),US846,9000,Atholne,425,Accountant,Management,dependable
Technological University of the Shannon,BA (Hons) in Accounting with Finance and placement Bachelor of Arts (Honours)(US847),US847,6700,Atholne,567,Business Analyst,Management,lively
Technological University of the Shannon,Hospitality Management (International Placement) Bachelor of Arts (Honours)(AL855),AL855,7800,Atholne,257,Technical Support,Support,serious
Technological University of the Shannon,Graphic & Digital Design Bachelor of Arts (Honours)(AL863),AL863,5000,Atholne,474,Pilot,Non_IT,extraverted
Technological University of the Shannon,Animation and Illustration Bachelor of Arts (Honours)(AL861),AL861,4500,Atholne,530,Human Resources,Non_IT,responsible
Technological University of the Shannon,Social Care Practice Bachelor of Arts (Honours)(AL860),AL860,5000,Atholne,519,Banker,Support,dependable
Technological University of the Shannon,Applied Social Studies in Social Care Bachelor of Arts(AL765),AL765,5000,Atholne,511,Teacher,Support,lively
Technological University of the Shannon,Early Years Care and Education Bachelor of Arts(AL764),AL764,9000,Atholne,375,Technical Support,Support,serious
Technological University of the Shannon,Graphic Design Bachelor of Arts(AL763),AL763,7500,Atholne,522,Database Developer,IT,extraverted
Technological University of the Shannon,B.B. Hons Sport Management (with international placement) Bachelor of Business (Honours)(AL854),AL854,9000,Atholne,459,Banker,Support,responsible
Technological University of the Shannon,Bachelor of Engineering (Honours) in Mechanical & Polymer Engineering Bachelor of Engineering(AL820),AL820,6700,Atholne,500,Banker,Non_IT,dependable
Technological University of the Shannon,Automation & Robotics Bachelor of Engineering(AL712),AL712,7800,Atholne,210,Business Analyst,Non_IT,lively
Technological University of the Shannon,Civil Engineering Bachelor of Engineering(US761),US761,5000,Atholne,332,Pilot,Non_IT,serious
Technological University of the Shannon,Computer Engineering Bachelor of Engineering(AL704),AL704,4500,Atholne,393,Mobile Applications Developer,IT,extraverted
Technological University of the Shannon,Mechanical Engineering Bachelor of Engineering(AL710),AL710,5000,Atholne,310,Human Resources,Non_IT,responsible
Technological University of the Shannon,Bachelor of Engineering in Computer Engineering for Robotics Bachelor of Engineering (US716),US716,5000,Atholne,296,Network Security Engineer,IT,dependable
Technological University of the Shannon,BSc(Hons) in Bioveterinary Science Bachelor of Science (Honours)(AL842),AL842,9000,Atholne,409,Banker,Non_IT,lively
Technological University of the Shannon,Microbiology Bachelor of Science (Honours)(AL839),AL839,7500,Atholne,343,Business Analyst,Non_IT,serious
Technological University of the Shannon,Software Design with Virtual Reality and Gaming Bachelor of Science (Honours)(AL801),AL801,5000,Atholne,579,Software Developer,IT,extraverted
Dundalk Institute of Technology,B.Sc. (Hons) in Engineering Entrepreneurship,DKA41,3819,Dundalk,341,Teacher,Support,responsible
Dundalk Institute of Technology,BA (Hons) in Accounting & Finance,DKA42,3500,Dundalk,574,Human Resources,Management,dependable
Dundalk Institute of Technology,BA (Hons) in Applied Youth Work,DKA43,3500,Dundalk,290,Technical Support,Support,lively
Dundalk Institute of Technology,BA (Hons) in Arts,DKA44,3500,Dundalk,531,Banker,Support,serious
Dundalk Institute of Technology,BA (Hons) in Audio and Music Production,DKA45,3500,Dundalk,220,Teacher,Support,extraverted
Dundalk Institute of Technology,BA (Hons) in Creative Media,DKA46,3500,Dundalk,461,Technical Support,Support,responsible
Dundalk Institute of Technology,BA (Hons) in Culinary Enterprise,DKA47,3500,Dundalk,591,Banker,Support,dependable
Dundalk Institute of Technology,BA (Hons) in Culinary Enterprise (Part-time Level 8 Add-On),DKA48,3500,Dundalk,342,Teacher,Support,lively
Dundalk Institute of Technology,BA (Hons) in Drama and Performance,DKA49,3500,Dundalk,428,Technical Support,Support,serious
Dundalk Institute of Technology,BA (Hons) in Early Childhood Studies,DKA50,3500,Dundalk,216,Accountant,Management,extraverted
Dundalk Institute of Technology,BA (Hons) in Event Management,DKA51,3500,Dundalk,470,Banker,Support,responsible
Dundalk Institute of Technology,BA (Hons) in Event Management (Part-time Level 8 Add-on),DKA52,3500,Dundalk,446,Teacher,Support,dependable
Dundalk Institute of Technology,BA (Hons) in Film & Television Production,DKA53,3500,Dundalk,281,Technical Support,Support,lively
Dundalk Institute of Technology,BA (Hons) in Global Marketing,DKA54,3500,Dundalk,539,Human Resources,Management,serious
Dundalk Institute of Technology,BA (Hons) in Hospitality Management,DKA55,3500,Dundalk,414,Business Analyst,Management,extraverted
Dundalk Institute of Technology,BA (Hons) in Hospitality Management (Part-time Level 8 Add-On),DKA56,3500,Dundalk,263,Accountant,Management,responsible
Dundalk Institute of Technology,BA (Hons) in International Tourism Management,DKA57,3500,Dundalk,451,Software Engineer,IT,dependable
Dundalk Institute of Technology,BA (Hons) in Leadership and Management for the Early Years Sector,DKA58,3500,Dundalk,410,Banker,Support,lively
Dundalk Institute of Technology,BA (Hons) in Music,DKA59,3500,Dundalk,481,Teacher,Support,serious
Dundalk Institute of Technology,BA (Hons) in Public Relations,DKA60,3500,Dundalk,272,Technical Support,Support,extraverted
Dundalk Institute of Technology,BA (Hons) in Social Care,DKA61,3500,Dundalk,271,Banker,Support,responsible
Dundalk Institute of Technology,"BA (Hons) in Sport, Exercise with Enterprise",DKA62,3500,Dundalk,314,Teacher,Support,dependable
Dundalk Institute of Technology,BA (Hons) in Youth Work  NSETS Endorsed,DKA63,3500,Dundalk,563,Pilot,Non_IT,lively
Dundalk Institute of Technology,BA in Applied Early Childhood Studies [Advanced Entry to Year 2 Only],DKA64,3500,Dundalk,496,Technical Support,Support,serious
Dundalk Institute of Technology,BA in Audio and Music Production,DKA65,3500,Dundalk,504,Banker,Support,extraverted
Dundalk Institute of Technology,BA in Community Youth Work,DKA66,3500,Dundalk,459,Human Resources,Non_IT,responsible
Dundalk Institute of Technology,BA in Creative Media,DKA67,3500,Dundalk,381,Banker,Non_IT,dependable
Dundalk Institute of Technology,BA in Culinary Arts,DKA68,3500,Dundalk,282,Business Analyst,Non_IT,lively
Dundalk Institute of Technology,BA in Digital Marketing & Public Relations,DKA69,3500,Dundalk,426,Business Analyst,Management,serious
Dundalk Institute of Technology,BA in Event Management,DKA70,3500,Dundalk,489,Human Resources,Management,extraverted
Dundalk Institute of Technology,BA in Hospitality Management,DKA71,3500,Dundalk,282,Pilot,Non_IT,responsible
Dundalk Institute of Technology,BA in Musical Theatre,DKA72,3500,Dundalk,482,Human Resources,Non_IT,dependable
Dundalk Institute of Technology,"BA in Sport, Exercise & Enterprise",DKA73,3500,Dundalk,594,Teacher,Support,lively
Dundalk Institute of Technology,BA in Theatre and Film Practice,DKA74,3500,Dundalk,272,Banker,Non_IT,serious
Dundalk Institute of Technology,Bachelor (Hons) of Business - Monaghan Institute / DkIT,DKA75,3500,Dundalk,598,Accountant,Management,extraverted
Dundalk Institute of Technology,Bachelor (Hons) of Business Studies (Part-time),DKA76,3500,Dundalk,296,Business Analyst,Management,responsible
Dundalk Institute of Technology,Bachelor of Business Studies (Honours),DKA77,3500,Dundalk,534,Human Resources,Management,dependable
Dundalk Institute of Technology,Bachelor of Business Studies (Honours),DKA78,3500,Dundalk,425,Accountant,Management,lively
Dundalk Institute of Technology,Bachelor of Engineering (Hons) in Civil Engineering,DKA79,3500,Dundalk,237,Business Analyst,Non_IT,serious
Dundalk Institute of Technology,Bachelor of Engineering (Hons) in Electrical and Electronic Engineering,DKA80,3500,Dundalk,434,Pilot,Non_IT,extraverted
Dundalk Institute of Technology,Bachelor of Engineering (Hons) in Engineering (Common Entry),DKA81,3500,Dundalk,543,Human Resources,Non_IT,responsible
Dundalk Institute of Technology,Bachelor of Engineering (Hons) in Mechanical Engineering,DKA82,3500,Dundalk,210,Banker,Non_IT,dependable
Dundalk Institute of Technology,Bachelor of Engineering in Civil Engineering,DKA83,3500,Dundalk,426,Business Analyst,Non_IT,lively
Dundalk Institute of Technology,Bachelor of Engineering in Electrical & Electronic Systems,DKA84,3500,Dundalk,468,Pilot,Non_IT,serious
Dundalk Institute of Technology,Bachelor of Engineering in Mechanical Engineering,DKA85,3500,Dundalk,278,Human Resources,Non_IT,extraverted
Dundalk Institute of Technology,Barista Training,DKA86,3500,Dundalk,344,Technical Support,Support,responsible
Dundalk Institute of Technology,BB (Hons) in Digital & International Business,DKA87,3500,Dundalk,328,Business Analyst,Management,dependable
Dundalk Institute of Technology,BB in Business and Management,DKA88,3500,Dundalk,372,Human Resources,Management,lively
Dundalk Institute of Technology,BB in Business and Technology,DKA89,3500,Dundalk,308,Accountant,Management,serious
Dundalk Institute of Technology,BSc (Hons) in Advanced Veterinary Nursing,DKA90,3500,Dundalk,489,Banker,Support,extraverted
Dundalk Institute of Technology,BSc (Hons) in Architectural Technology,DKA91,3500,Dundalk,354,Banker,Non_IT,responsible
Dundalk Institute of Technology,BSc (Hons) in Augmented and Virtual Reality,DKA92,3500,Dundalk,358,Business Analyst,Non_IT,dependable
Dundalk Institute of Technology,BSc (Hons) in Biopharmaceutical Science,DKA93,3500,Dundalk,404,Pilot,Non_IT,lively
Dundalk Institute of Technology,BSc (Hons) in Building Surveying,DKA94,3500,Dundalk,570,Human Resources,Non_IT,serious
Dundalk Institute of Technology,BSc (Hons) in Civil Engineering,DKA95,3500,Dundalk,399,Banker,Non_IT,extraverted
Dundalk Institute of Technology,BSc (Hons) in Civil Engineering - Level 8 Add-on (Part-time),DKA96,3500,Dundalk,508,Business Analyst,Non_IT,responsible
Dundalk Institute of Technology,BSc (Hons) in Computing in Cloud and Data Centre Operations,DKA97,3500,Dundalk,402,Software Quality Assurance (QA) / Testing,IT,dependable
Dundalk Institute of Technology,BSc (Hons) In Computing in Cloud Computing,DKA98,3500,Dundalk,570,Systems Security Administrator,IT,lively
Dundalk Institute of Technology,BSc (Hons) in Computing in Games Development,DKA99,3500,Dundalk,223,Technical Support,IT,serious
